"1","AAA","Anaa Airport","Anaa","French Polynesia","Anaa, Tuamotus, French Polynesia"
"2","AAB","Arrabury Airport","Arrabury","Australia","Arrabury, Queensland, Australia"
"3","AAC","El Arish International Airport","El Arish","Egypt","El Arish, Egypt"
"4","AAD","Ad-Dabbah Airport","Ad-Dabbah","Sudan","Ad-Dabbah, Sudan"
"5","AAE","Rabah Bitat Airport (Les Salines Airport)","Annaba","Algeria","Annaba, Algeria"
"6","AAF","Apalachicola Municipal Airport","Apalachicola","United States","Apalachicola, Florida, United States"
"7","AAG","Arapoti Airport","Arapoti","Brazil","Arapoti, Paraná, Brazil"
"8","AAH","Merzbrück Airport","Aachen","Germany","Aachen, Germany"
"9","AAI","Arraias Airport","Arraias","Brazil","Arraias, Tocantins, Brazil"
"10","AAJ","Cayana Airstrip","Awaradam","Suriname","Awaradam, Suriname"
"11","AAK","Aranuka Airport","Aranuka","Kiribati","Aranuka, Kiribati"
"12","AAL","Aalborg Airport","Aalborg","Denmark","Aalborg, Denmark"
"13","AAM","Mala Mala Airport","Mala Mala","South Africa","Mala Mala, South Africa"
"14","AAN","Al Ain International Airport","Al Ain","United Arab Emirates","Al Ain, United Arab Emirates"
"15","AAO","Anaco Airport","Anaco","Venezuela","Anaco, Venezuela"
"16","AAP","Aappilattoq (Qaasuitsup) Heliport","Aappilattoq","Greenland","Aappilattoq, Greenland"
"17","AAQ","Vityazevo Airport","Anapa","Russia","Anapa, Russia"
"18","AAR","Aarhus Airport","Aarhus","Denmark","Aarhus, Denmark"
"19","AAS","Apalapsili Airport","Apalapsili","Indonesia","Apalapsili, Indonesia"
"20","AAT","Altay Airport","Altay","People's Republic of China","Altay, Xinjiang, People's Republic of China"
"21","AAU","Asau Airport","Asau","Samoa","Asau, Samoa"
"22","AAV","Allah Valley Airport","Surallah","Philippines","Surallah, South Cotabato, Philippines"
"23","AAW","Abbottabad Airport","Abbottabad","Pakistan","Abbottabad, Pakistan"
"24","AAX","Araxa Airport (Aeroporto Araxá)","Araxá","Brazil","Araxá, Minas Gerais, Brazil"
"25","AAY","Al Ghaydah Airport","Al Ghaydah","Yemen","Al Ghaydah, Yemen"
"26","AAZ","Quetzaltenango Airport","Quetzaltenango","Guatemala","Quetzaltenango, Guatemala"
"27","ABA","Abakan Airport","Abakan","Russia","Abakan, Khakassia, Russia"
"28","ABB","RAF Abingdon","Abingdon","United Kingdom","Abingdon, England, United Kingdom"
"29","ABD","Abadan Airport","Abadan","Iran","Abadan, Iran"
"30","ABE","Lehigh Valley International Airport","Allentown","United States","Allentown, Pennsylvania, United States"
"31","ABF","Abaiang Atoll Airport","Abaiang","Kiribati","Abaiang, Kiribati"
"32","ABG","Abingdon Airport","Abingdon","Australia","Abingdon, Queensland, Australia"
"33","ABH","Alpha Airport","Alpha","Australia","Alpha, Queensland, Australia"
"34","ABI","Abilene Regional Airport","Abilene","United States","Abilene, Texas, United States"
"35","ABJ","Port Bouet Airport (Felix Houphouet Boigny Int'l)","Abidjan","Côte d'Ivoire","Abidjan, Côte d'Ivoire"
"36","ABK","Kabri Dar Airport","Kabri Dar (Kabre Dare)","Ethiopia","Kabri Dar (Kabre Dare), Ethiopia"
"37","ABL","Ambler Airport (FAA: AFM)","Ambler","United States","Ambler, Alaska, United States"
"38","ABM","Bamaga Injinoo Airport","Bamaga","Australia","Bamaga, Queensland, Australia"
"39","ABN","Albina Airport","Albina","Suriname","Albina, Suriname"
"40","ABO","Aboisso Airport","Aboisso","Côte d'Ivoire","Aboisso, Côte d'Ivoire"
"41","ABP","Atkamba Airport","Atkamba","Papua New Guinea","Atkamba, Papua New Guinea"
"42","ABQ","Albuquerque International Sunport","Albuquerque","United States","Albuquerque, New Mexico, United States"
"43","ABR","Aberdeen Regional Airport","Aberdeen","United States","Aberdeen, South Dakota, United States"
"44","ABS","Abu Simbel Airport","Abu Simbel","Egypt","Abu Simbel, Egypt"
"45","ABT","Al-Baha Domestic Airport","Al-Baha","Saudi Arabia","Al-Baha, Saudi Arabia"
"46","ABU","Haliwen Airport","Atambua","Indonesia","Atambua, Indonesia"
"47","ABV","Nnamdi Azikiwe International Airport","Abuja","Nigeria","Abuja, Nigeria"
"48","ABW","Abau Airport","Abau","Papua New Guinea","Abau, Papua New Guinea"
"49","ABX","Albury Airport","Albury","Australia","Albury, New South Wales, Australia"
"50","ABY","Southwest Georgia Regional Airport","Albany","United States","Albany, Georgia, United States"
"51","ABZ","Aberdeen Airport","Aberdeen","United Kingdom","Aberdeen, Scotland, United Kingdom"
"52","ACA","General Juan N. Álvarez International Airport","Acapulco","Mexico","Acapulco, Guerrero, Mexico"
"53","ACB","Antrim County Airport","Bellaire","United States","Bellaire, Michigan, United States"
"54","ACC","Kotoka International Airport","Accra","Ghana","Accra, Ghana"
"55","ACD","Alcides Fernández Airport","Acandí","Colombia","Acandí, Colombia"
"56","ACE","Lanzarote Airport","Arrecife","Spain","Arrecife, Canary Islands, Spain"
